id,title,startDate,popularity,favourites,tags,genres,averageScore,episodes,duration,description,studios
16498,"{'romaji': 'Shingeki no Kyojin', 'english': 'Attack on Titan'}",{'year': 2013},769756,48653,"[{'name': 'Survival'}, {'name': 'Kaiju'}, {'name': 'Tragedy'}, {'name': 'Shapeshifting'}, {'name': 'Military'}, {'name': 'Monster Boy'}, {'name': 'Post-Apocalyptic'}, {'name': 'Primarily Teen Cast'}, {'name': 'Super Power'}, {'name': 'Male Protagonist'}, {'name': 'Swordplay'}, {'name': 'Gore'}, {'name': 'Memory Manipulation'}, {'name': 'Ensemble Cast'}, {'name': 'Dystopian'}, {'name': 'Politics'}, {'name': 'Religion'}, {'name': 'Espionage'}, {'name': 'Monster Girl'}, {'name': 'Cannibalism'}, {'name': 'Shounen'}, {'name': 'Coming of Age'}, {'name': 'Time Skip'}, {'name': 'Amnesia'}, {'name': 'Rural'}, {'name': 'CGI'}, {'name': 'Primarily Male Cast'}, {'name': 'Yandere'}, {'name': 'Class Struggle'}, {'name': 'Unrequited Love'}, {'name': 'Adoption'}, {'name': 'Suicide'}, {'name': 'Orphan'}]","['Action', 'Drama', 'Fantasy', 'Mystery']",84,25,24,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans.<br><br>
Flash forward to the present and the city has not seen a titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a colossal titan that appears out of thin air. As the smaller titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single titan and take revenge for all of mankind.<br><br>
(Source: MangaHelpers) ",{'nodes': [{'name': 'Wit Studio'}]}
101922,"{'romaji': 'Kimetsu no Yaiba', 'english': 'Demon Slayer: Kimetsu no Yaiba'}",{'year': 2019},727599,39973,"[{'name': 'Demons'}, {'name': 'Shounen'}, {'name': 'Swordplay'}, {'name': 'Male Protagonist'}, {'name': 'Primarily Teen Cast'}, {'name': 'Tragedy'}, {'name': 'Monster Girl'}, {'name': 'Travel'}, {'name': 'Revenge'}, {'name': 'Gore'}, {'name': 'CGI'}, {'name': 'Orphan'}, {'name': 'Primarily Male Cast'}, {'name': 'Mythology'}, {'name': 'Slapstick'}, {'name': 'Rural'}, {'name': 'Historical'}, {'name': 'Rotoscoping'}, {'name': 'Super Power'}, {'name': 'Coming of Age'}, {'name': 'Body Horror'}, {'name': 'Chibi'}, {'name': 'Time Skip'}]","['Action', 'Adventure', 'Drama', 'Fantasy', 'Supernatural']",83,26,24,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.<br>
<br>
(Source: Crunchyroll)",{'nodes': [{'name': 'ufotable'}]}
1535,"{'romaji': 'DEATH NOTE', 'english': 'Death Note'}",{'year': 2006},700617,38859,"[{'name': 'Crime'}, {'name': 'Detective'}, {'name': 'Anti-Hero'}, {'name': 'Male Protagonist'}, {'name': 'Police'}, {'name': 'Philosophy'}, {'name': 'Tragedy'}, {'name': 'Primarily Adult Cast'}, {'name': 'Gods'}, {'name': 'Urban Fantasy'}, {'name': 'Unrequited Love'}, {'name': 'Memory Manipulation'}, {'name': 'Primarily Male Cast'}, {'name': 'Urban'}, {'name': 'Amnesia'}, {'name': 'Espionage'}, {'name': 'Shounen'}, {'name': 'Suicide'}, {'name': 'Yandere'}, {'name': 'Acting'}, {'name': 'Assassins'}, {'name': 'Time Skip'}, {'name': 'Achronological Order'}, {'name': 'Tennis'}]","['Mystery', 'Psychological', 'Supernatural', 'Thriller']",84,37,23,"Light Yagami is a genius high school student who is about to learn about life through a book of death. When a bored shinigami, a God of Death, named Ryuk drops a black notepad called a <i>Death Note</i>, Light receives power over life and death with the stroke of a pen. Determined to use this dark gift for the best, Light sets out to rid the world of evil… namely, the people he believes to be evil. Should anyone hold such power?<br>
<br>
The consequences of Light’s actions will set the world ablaze.<br>
<br>
(Source: Viz Media)",{'nodes': [{'name': 'MADHOUSE'}]}
113415,"{'romaji': 'Jujutsu Kaisen', 'english': 'JUJUTSU KAISEN'}",{'year': 2020},668266,48203,"[{'name': 'Urban Fantasy'}, {'name': 'Shounen'}, {'name': 'Super Power'}, {'name': 'Youkai'}, {'name': 'Male Protagonist'}, {'name': 'Primarily Teen Cast'}, {'name': 'Dissociative Identities'}, {'name': 'Body Horror'}, {'name': 'Demons'}, {'name': 'Orphan'}, {'name': 'Magic'}, {'name': 'Martial Arts'}, {'name': 'Ensemble Cast'}, {'name': 'Primarily Male Cast'}, {'name': 'Gore'}, {'name': 'Swordplay'}, {'name': 'Tragedy'}, {'name': 'School'}, {'name': 'Shapeshifting'}, {'name': 'Boarding School'}, {'name': 'Slapstick'}, {'name': 'Rotoscoping'}, {'name': 'Anthropomorphism'}, {'name': 'Mythology'}, {'name': 'Femboy'}, {'name': 'Surreal Comedy'}, {'name': 'Twins'}, {'name': 'School Club'}, {'name': 'Baseball'}, {'name': 'Rape'}]","['Action', 'Drama', 'Supernatural']",86,24,24,"A boy fights... for ""the right death.""<br>
<br>
Hardship, regret, shame: the negative feelings that humans feel become Curses that lurk in our everyday lives. The Curses run rampant throughout the world, capable of leading people to terrible misfortune and even death. What's more, the Curses can only be exorcised by another Curse.<br>
<br>
Itadori Yuji is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a friend who has been attacked by Curses, he eats the finger of the Double-Faced Specter, taking the Curse into his own soul. From then on, he shares one body with the Double-Faced Specter. Guided by the most powerful of sorcerers, Gojou Satoru, Itadori is admitted to the Tokyo Metropolitan Technical High School of Sorcery, an organization that fights the Curses... and thus begins the heroic tale of a boy who became a Curse to exorcise a Curse, a life from which he could never turn back.
<br><br>
(Source: Crunchyroll)<br>
<br>
<i>Note: The first episode received an early web premiere on September 19th, 2020. The regular TV broadcast started on October 3rd, 2020.</i>",{'nodes': [{'name': 'MAPPA'}]}
21459,"{'romaji': 'Boku no Hero Academia', 'english': 'My Hero Academia'}",{'year': 2016},666087,19848,"[{'name': 'Super Power'}, {'name': 'Superhero'}, {'name': 'Shounen'}, {'name': 'Primarily Teen Cast'}, {'name': 'Male Protagonist'}, {'name': 'School'}, {'name': 'Urban Fantasy'}, {'name': 'Ensemble Cast'}, {'name': 'Coming of Age'}, {'name': 'Bullying'}, {'name': 'Primarily Male Cast'}, {'name': 'Cultivation'}, {'name': 'Prison'}]","['Action', 'Adventure', 'Comedy']",77,13,24,"What would the world be like if 80 percent of the population manifested extraordinary superpowers called “Quirks” at age four? Heroes and villains would be battling it out everywhere! Becoming a hero would mean learning to use your power, but where would you go to study? U.A. High's Hero Program of course! But what would you do if you were one of the 20 percent who were born Quirkless?<br><br>

Middle school student Izuku Midoriya wants to be a hero more than anything, but he hasn't got an ounce of power in him. With no chance of ever getting into the prestigious U.A. High School for budding heroes, his life is looking more and more like a dead end. Then an encounter with All Might, the greatest hero of them all gives him a chance to change his destiny…<br><br>

(Source: Viz Media)",{'nodes': [{'name': 'bones'}]}
11061,"{'romaji': 'HUNTER×HUNTER (2011)', 'english': 'Hunter x Hunter (2011)'}",{'year': 2011},625300,63493,"[{'name': 'Shounen'}, {'name': 'Super Power'}, {'name': 'Male Protagonist'}, {'name': 'Tragedy'}, {'name': 'Cultivation'}, {'name': 'Ensemble Cast'}, {'name': 'Primarily Male Cast'}, {'name': 'Travel'}, {'name': 'Martial Arts'}, {'name': 'Coming of Age'}, {'name': 'Revenge'}, {'name': 'Chimera'}, {'name': 'Found Family'}, {'name': 'Philosophy'}, {'name': 'Primarily Teen Cast'}, {'name': 'Virtual World'}, {'name': 'Crime'}, {'name': 'Urban Fantasy'}, {'name': 'Assassins'}, {'name': 'Environmental'}, {'name': 'Mafia'}, {'name': 'Anti-Hero'}, {'name': 'Gore'}, {'name': 'Card Battle'}, {'name': 'Gangs'}, {'name': 'Board Game'}, {'name': 'Politics'}, {'name': 'Video Games'}, {'name': 'Shogi'}, {'name': 'Body Horror'}, {'name': 'Vore'}, {'name': 'Animals'}, {'name': 'Masturbation'}, {'name': 'Gender Bending'}, {'name': 'Yandere'}, {'name': 'Anthropomorphism'}]","['Action', 'Adventure', 'Fantasy']",89,148,24,"A new adaption of the manga of the same name by Togashi Yoshihiro.<br><br>
A Hunter is one who travels the world doing all sorts of dangerous tasks. From capturing criminals to searching deep within uncharted lands for any lost treasures. Gon is a young boy whose father disappeared long ago, being a Hunter. He believes if he could also follow his father's path, he could one day reunite with him.<br><br>
After becoming 12, Gon leaves his home and takes on the task of entering the Hunter exam, notorious for its low success rate and high probability of death to become an official Hunter. He befriends the revenge-driven Kurapika, the doctor-to-be Leorio and the rebellious ex-assassin Killua in the exam, with their friendship prevailing throughout the many trials and threats they come upon taking on the dangerous career of a Hunter.",{'nodes': [{'name': 'MADHOUSE'}]}
21087,"{'romaji': 'One Punch Man', 'english': 'One-Punch Man'}",{'year': 2015},582022,22810,"[{'name': 'Super Power'}, {'name': 'Superhero'}, {'name': 'Parody'}, {'name': 'Male Protagonist'}, {'name': 'Satire'}, {'name': 'Urban Fantasy'}, {'name': 'Cultivation'}, {'name': 'Surreal Comedy'}, {'name': 'Urban'}, {'name': 'Cyborg'}, {'name': 'Kaiju'}, {'name': 'Seinen'}, {'name': 'Primarily Adult Cast'}, {'name': 'Aliens'}, {'name': 'Primarily Male Cast'}, {'name': 'Gods'}, {'name': 'Gore'}, {'name': 'Martial Arts'}, {'name': 'Demons'}, {'name': 'Henshin'}]","['Action', 'Comedy', 'Sci-Fi', 'Supernatural']",83,12,24,"Saitama has a rather peculiar hobby, being a superhero, but despite his heroic deeds and superhuman abilities, a shadow looms over his life. He's become much too powerful, to the point that every opponent ends up defeated with a single punch.
<br><br>
The lack of challenge has driven him into a state of apathy, as he watches his life pass by having lost all enthusiasm, at least until he's unwillingly thrust in the role of being a mentor to the young and revenge-driven Genos.   

",{'nodes': [{'name': 'MADHOUSE'}]}
20605,"{'romaji': 'Tokyo Ghoul', 'english': 'Tokyo Ghoul'}",{'year': 2014},557260,15989,"[{'name': 'Gore'}, {'name': 'Urban Fantasy'}, {'name': 'Tragedy'}, {'name': 'Survival'}, {'name': 'Male Protagonist'}, {'name': 'Torture'}, {'name': 'Body Horror'}, {'name': 'Anti-Hero'}, {'name': 'Seinen'}, {'name': 'Coming of Age'}, {'name': 'Urban'}, {'name': 'Police'}, {'name': 'Cannibalism'}, {'name': 'Detective'}, {'name': 'Crime'}, {'name': 'Henshin'}, {'name': 'Heterosexual'}, {'name': 'College'}]","['Action', 'Drama', 'Horror', 'Mystery', 'Psychological', 'Supernatural']",75,12,24,"The suspense horror/dark fantasy story is set in Tokyo, which is haunted by mysterious ""ghouls"" who are devouring humans. People are gripped by the fear of these ghouls whose identities are masked in mystery. An ordinary college student named Kaneki encounters Rize, a girl who is an avid reader like him, at the café he frequents. Little does he realize that his fate will change overnight.
<br><br>
(Source: Anime News Network)",{'nodes': [{'name': 'Studio Pierrot'}]}
20958,"{'romaji': 'Shingeki no Kyojin 2', 'english': 'Attack on Titan Season 2'}",{'year': 2017},549644,13276,"[{'name': 'Survival'}, {'name': 'Espionage'}, {'name': 'Shapeshifting'}, {'name': 'Post-Apocalyptic'}, {'name': 'Tragedy'}, {'name': 'Military'}, {'name': 'Kaiju'}, {'name': 'Dystopian'}, {'name': 'Primarily Teen Cast'}, {'name': 'Gore'}, {'name': 'Monster Boy'}, {'name': 'Super Power'}, {'name': 'Shounen'}, {'name': 'Male Protagonist'}, {'name': 'Incest'}, {'name': 'Dissociative Identities'}, {'name': 'Cult'}, {'name': 'Coming of Age'}, {'name': 'Female Protagonist'}, {'name': 'Ensemble Cast'}, {'name': 'Orphan'}, {'name': 'Cannibalism'}, {'name': 'Primarily Male Cast'}, {'name': 'Kuudere'}, {'name': 'Anti-Hero'}, {'name': 'CGI'}, {'name': 'Class Struggle'}, {'name': 'Swordplay'}, {'name': 'Unrequited Love'}, {'name': 'Monster Girl'}, {'name': 'LGBTQ+ Themes'}, {'name': 'Tanned Skin'}, {'name': 'Nudity'}, {'name': 'Matriarchy'}, {'name': 'Primarily Adult Cast'}, {'name': 'Yuri'}]","['Action', 'Drama', 'Fantasy', 'Mystery']",84,12,25,"Eren Jaeger swore to wipe out every last Titan, but in a battle for his life he wound up becoming the thing he hates most. With his new powers, he fights for humanity's freedom facing the monsters that threaten his home. After a bittersweet victory against the Female Titan, Eren finds no time to rest—a horde of Titans is approaching Wall Rose and the battle for humanity continues!<br><br>

(Source: Funimation)",{'nodes': [{'name': 'Wit Studio'}]}
11757,"{'romaji': 'Sword Art Online', 'english': 'Sword Art Online'}",{'year': 2012},545313,16192,"[{'name': 'Virtual World'}, {'name': 'Death Game'}, {'name': 'Video Games'}, {'name': 'Male Protagonist'}, {'name': 'Swordplay'}, {'name': 'Primarily Teen Cast'}, {'name': 'Isekai'}, {'name': 'Time Skip'}, {'name': 'Female Harem'}, {'name': 'Artificial Intelligence'}, {'name': 'Unrequited Love'}, {'name': 'Heterosexual'}, {'name': 'Primarily Male Cast'}, {'name': 'Primarily Female Cast'}, {'name': 'Travel'}, {'name': 'Tragedy'}, {'name': 'Fairy'}, {'name': 'Fishing'}, {'name': 'Found Family'}, {'name': 'Amnesia'}, {'name': 'Prison'}, {'name': 'Incest'}]","['Action', 'Adventure', 'Fantasy', 'Romance']",69,25,23,"In the near future, a Virtual Reality Massive Multiplayer Online Role-Playing Game (VRMMORPG) called Sword Art Online has been released where players control their avatars with their bodies using a piece of technology called Nerve Gear. One day, players discover they cannot log out, as the game creator is holding them captive unless they reach the 100th floor of the game's tower and defeat the final boss. However, if they die in the game, they die in real life. Their struggle for survival starts now...<br><br>
(Source: Crunchyroll)",{'nodes': [{'name': 'A-1 Pictures'}]}
